,influenza st,Influenza dis,Common Cold dis,flu st,flu symptoms st,Influenza Vaccine vacc,prevent flu st,Hand sanitizer topic,Oseltamivir med,Oseltamivir st,tamiflu st,pneumonia st,Fever medcond,tylenol st,chills st,Nasal Congestion syndrome,Cough topic,Cold medicine topic,Antibiotics drugtype,Antimicrobial resistance topic,Ibuprofen med,immunity st,Immunity topic,Swine influenza topic,flu medicine st
0,5.0,5.0,58.0,1.0,2.0,1.0,6.0,7.0,2.0,0.0,2.0,60.0,51.0,20.0,40.0,46.0,52.0,44.0,65.0,14.0,51.0,67.0,63.0,0.0,15.0
1,6.0,5.0,56.0,1.0,2.0,1.0,0.0,6.0,1.0,5.0,2.0,69.0,48.0,21.0,56.0,65.0,63.0,45.0,71.0,15.0,61.0,55.0,54.0,0.0,11.0
2,4.0,4.0,52.0,1.0,1.0,1.0,3.0,6.0,1.0,0.0,2.0,64.0,51.0,22.0,63.0,44.0,52.0,44.0,70.0,9.0,55.0,46.0,48.0,0.0,11.0
3,5.0,4.0,50.0,1.0,1.0,0.0,0.0,7.0,2.0,4.0,2.0,64.0,49.0,23.0,41.0,34.0,45.0,26.0,86.0,21.0,68.0,59.0,62.0,0.0,11.0
4,5.0,4.0,46.0,1.0,1.0,1.0,6.0,9.0,1.0,2.0,1.0,56.0,50.0,24.0,51.0,51.0,49.0,42.0,78.0,18.0,60.0,46.0,65.0,0.0,5.0
5,5.0,3.0,39.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,1.0,49.0,53.0,23.0,47.0,55.0,42.0,31.0,74.0,8.0,53.0,62.0,66.0,0.0,5.0
6,5.0,3.0,42.0,1.0,1.0,1.0,0.0,11.0,1.0,2.0,1.0,47.0,47.0,24.0,49.0,45.0,47.0,40.0,81.0,9.0,57.0,58.0,63.0,0.0,12.0
7,4.0,3.0,40.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,53.0,48.0,21.0,55.0,48.0,56.0,37.0,72.0,20.0,48.0,55.0,57.0,0.0,7.0
8,4.0,2.0,38.0,1.0,1.0,0.0,3.0,7.0,1.0,0.0,0.0,51.0,44.0,24.0,67.0,43.0,45.0,23.0,70.0,12.0,55.0,45.0,58.0,0.0,5.0
9,4.0,2.0,37.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,43.0,45.0,20.0,43.0,38.0,48.0,29.0,60.0,7.0,46.0,54.0,65.0,0.0,0.0
10,4.0,2.0,35.0,1.0,0.0,0.0,3.0,8.0,2.0,5.0,1.0,39.0,43.0,22.0,33.0,35.0,50.0,27.0,67.0,10.0,43.0,45.0,57.0,0.0,10.0
11,2.0,2.0,33.0,1.0,1.0,1.0,0.0,6.0,1.0,3.0,1.0,40.0,47.0,32.0,40.0,36.0,44.0,29.0,57.0,12.0,52.0,50.0,50.0,0.0,5.0
12,2.0,2.0,32.0,0.0,0.0,1.0,0.0,8.0,1.0,2.0,0.0,37.0,47.0,30.0,42.0,38.0,39.0,35.0,58.0,6.0,61.0,49.0,52.0,0.0,0.0
13,2.0,2.0,32.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,32.0,40.0,19.0,63.0,34.0,39.0,23.0,59.0,5.0,46.0,47.0,40.0,0.0,0.0
14,2.0,2.0,31.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,35.0,41.0,20.0,48.0,35.0,37.0,23.0,62.0,11.0,54.0,42.0,32.0,0.0,5.0
15,2.0,2.0,33.0,0.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,30.0,36.0,20.0,39.0,29.0,35.0,19.0,63.0,11.0,51.0,64.0,34.0,0.0,0.0
